Recognition Number,Name,Legal Name,Acronym,Email,Website,Head Office Address Line 1,Head Office Address Line 2,Head Office Address Town/City,Head Office Address County,Head Office Address Postcode,Head Office Address Country,Head Office Address Telephone Number,Ofqual Status,Ofqual Recognised From,Ofqual Recognised To,CCEA Regulation Status,CCEA Regulation Recognised From,CCEA Regulation Recognised To
"RN5339","Education Qualifications and Awards","Education Qualifications and Awards Limited","EQ Awards ","Compliance@eqawards.org.uk","http://www.eqawards.org.uk","Education Qualifications and Awards","6 Scirocco Close, Moulton Park Office Village","Northampton",,"NN3 6AP","United Kingdom","01293344556","Surrendered","2011-05-12 00:00:00.0000000","2020-11-01 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2019-09-30 00:00:00.0000000"
"RN5355","Training Qualifications UK Ltd","Training Qualifications UK Ltd","TQUK","support@tquk.org","http://www.tquk.org","Crossgate House","Cross Street",,"Sale","M33 7FT","United Kingdom","03333 583344","Recognised","2013-09-17 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5361","The Institute of the Motor Industry","The Institute of the Motor Industry","IMI","qualityandcompliance@theimi.org.uk","http://www.theimi.org.uk","Fanshaws","Brickendon","Hertford","Hertfordshire","SG13 8PQ","United Kingdom","01992 511 521","Recognised","2015-08-14 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5237","The London Institute of Banking & Finance","The London Institute of Banking & Finance","LIBF","customerservices@libf.ac.uk ","http://www.libf.ac.uk","8th Floor Peninsular House","36 Monument Street","London"," ","EC3R 8LJ","United Kingdom","01227 818609","Surrendered","2010-04-01 00:00:00.0000000","2023-03-31 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2023-03-31 00:00:00.0000000"
"RN5268","Associated Board of the Royal Schools of Music","The Associated Board of the Royal Schools of Music","ABRSM","abrsm@abrsm.ac.uk","http://www.abrsm.org","4 London Wall Place","London",,,"EC2Y 5AU","United Kingdom","0207 636 5400","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5227","Chartered Institute of Procurement and Supply","The Chartered Institute of Procurement and Supply","CIPS","chantal.rogers@cips.org","http://www.cips.org","Easton House","Easton on the Hill","Stamford","Lincolnshire","PE9 3NZ","United Kingdom","01780 756777","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5346","International Dance Teachers Association","International Dance Teachers' Association Limited","IDTA","info@idta.co.uk","http://www.idta.co.uk","76 Bennett Road","Brighton","East Sussex",,"BN2 5JL","United Kingdom","01273 685652","Recognised","2011-06-23 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5117","Institute of Workplace and Facilities Management","Institute of Workplace and Facilities Management","IWFM","qualifications@iwfm.org.uk","http://www.iwfm.org.uk","Suite 15, Thremhall Park","Start Hill","Bishop's Stortford","Hertfordshire","CM22 7WE","United Kingdom","01279 712620","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2019-03-20 00:00:00.0000000"
"RN5293","DSA Qualification Awarding Board","DSA Qualifications Awarding Body Limited","DSAQ","joe.quilter@psp-group.co.uk","www.psp-group.co.uk","Hampden House","Monument Business Park","Chalgrove","Oxon","OX44 7RW","United Kingdom","01865 893220","Surrendered","2010-08-31 00:00:00.0000000","2014-04-01 00:00:00.0000000","Never been recognised",,
"RN6071","Best Practice Network","Best Practice Network Limited","BPN","joannahawkins@bestpracticenet.co.uk","www.bestpracticenet.co.uk","Best Practice Network","3rd Floor, Newminster House","27-29 Baldwin Street","Bristol","BS1 1LT","United Kingdom","01179209421","Recognised","2022-03-11 00:00:00.0000000",,"Never been recognised",,
