ID,Recognition Number,Organisation Acronym,Organisation Name,Recognition Permission Type,Qualification Type,Level,Sector Subject Area,Apprenticeship Standard Code,Apprenticeship Standard Name,Technical Qualification Subject,Qualification Description,Start Date
12532,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",01.1 Medicine and Dentistry,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12533,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",01.2 Nursing and subjects and vocations allied to medicine,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12534,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",01.3 Health and social care,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12535,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",01.4 Public services,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12536,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",01.5 Child development and well-being,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12537,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",02.1 Science,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12538,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",02.2 Mathematics and statistics,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12539,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",03.1 Agriculture,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12540,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",03.2 Horticulture and forestry,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12541,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",03.3 Animal care and veterinary science,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12542,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",03.4 Environmental conservation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12543,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",04.1 Engineering,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12544,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",04.2 Manufacturing technologies,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12545,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",04.3 Transportation operations and maintenance,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12546,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",05.1 Architecture,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12547,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",05.2 Building and construction,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12548,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3","05.3 Urban, rural and regional planning",Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12549,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",06.1 ICT practitioners,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12550,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",06.2 ICT for users,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12551,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",07.1 Retailing and wholesaling,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12552,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",07.2 Warehousing and distribution,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12553,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",07.3 Service enterprises,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12554,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",07.4 Hospitality and catering,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12555,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3","08.1 Sport, leisure and recreation",Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12556,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",08.2 Travel and tourism,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12557,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",09.1 Performing arts,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12558,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3","09.2 Crafts, creative arts and design",Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12559,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",09.3 Media and communication,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12560,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",09.4 Publishing and information services,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12561,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",10.1 History,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12562,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",10.2 Archaeology and archaeological sciences,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12563,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",10.3 Philosophy,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12564,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",10.4 Theology and religious studies,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12565,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",11.1 Geography,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12566,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",11.2 Sociology and social policy,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12567,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",11.3 Politics,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12568,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",11.4 Economics,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12569,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",11.5 Anthropology,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12570,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3","12.1 Languages, literature and culture of the British Isles",Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12571,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3","12.2 Other languages, literature and culture",Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12572,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",12.3 Linguistics,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12573,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",13.1 Teaching and lecturing,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12574,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",13.2 Direct learning support,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12575,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",14.1 Foundations for learning and life,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12576,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",14.2 Preparation for work,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12577,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",15.1 Accounting and finance,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12578,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",15.2 Administration,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12579,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",15.3 Business management,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12580,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",15.4 Marketing and sales,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
